"ID_STORE","ID_CALMONTH","COST_CATEGORY","COMMENT","VALUE"
"Rosenheim","30.04.2024","Marketing Campaign","Marketing Campaign [22]: Google Ads","1000"
"Rosenheim","30.04.2024","Marketing Campaign","Marketing Campaign [56]: Banner 4 x 1,5 m","2500"
"Rosenheim","30.04.2024","Marketing Campaign","Marketing Campaign [53]: Sponsoring on web sites and local influencers","3000"
"Rosenheim","30.04.2024","Marketing Campaign","Marketing Campaign [54]: Guerilla Marketing","4000"
"Rosenheim","30.04.2024","Marketing Campaign","Marketing Campaign [3]: Brochure","10000"
"Rosenheim","30.04.2024","Marketing Campaign","Marketing Campaign [6]: TV Sport","20000"
"Rosenheim","30.04.2024","Commission","Commission for Jan Peters, 3 %  ","512"
"Rosenheim","30.04.2024","Commission","Commission for Sabine Meyer, 3 %  ","1761"
"Rosenheim","30.04.2024","Commission","Commission for Gerhard Winkler, 3 %  ","2209"
"Rosenheim","30.04.2024","Commission","Commission for Katharina Vogel, 3 %  ","2267"
"Rosenheim","31.03.2024","Monthly Salary","Monthly Salary for Andreas Miller, Mechanic, 0 %  ","417"
"Rosenheim","31.03.2024","Monthly Salary","Monthly Salary for Melanie Gabler, Student Assistant, 0 %  ","417"
"Rosenheim","31.03.2024","Monthly Salary","Monthly Salary for Helene Mauser, Cleaner, 0 %  ","458"
"Rosenheim","31.03.2024","Monthly Salary","Monthly Salary for Gerhard Winkler, Salesman, 3 %  ","2500"
"Rosenheim","31.03.2024","Monthly Salary","Monthly Salary for Jan Peters, Salesman, 3 %  ","2500"
"Rosenheim","31.03.2024","Monthly Salary","Monthly Salary for Klaus Weber, Mechanic, 0 %  ","2500"
"Rosenheim","31.03.2024","Monthly Salary","Monthly Salary for Sabine Meyer, Salesman, 3 %  ","2500"
"Freiburg im Breisgau","29.02.2024","Monthly Salary","Monthly Salary for Jan Peters, Salesman, 3 %  ","2333"
"Freiburg im Breisgau","29.02.2024","Monthly Salary","Monthly Salary for Sabine Meyer, Salesman, 3 %  ","2500"
"Freiburg im Breisgau","29.02.2024","Monthly Salary","Monthly Salary for Markus Seibert, Salesman, 3 %  ","2833"
"Freiburg im Breisgau","29.02.2024","Monthly Salary","Monthly Salary for Matthias Schwab, Salesman, 3 %  ","2917"
"Freiburg im Breisgau","29.02.2024","Monthly Salary","Monthly Salary for Arnim Schmidt, Salesman, 3 %  ","3250"
"Freiburg im Breisgau","29.02.2024","Monthly Social Costs","Social Costs for Katharina Bauer","68"
"Freiburg im Breisgau","29.02.2024","Monthly Social Costs","Social Costs for Stefan Beck","758"
"Freiburg im Breisgau","29.02.2024","Monthly Social Costs","Social Costs for Susanne Neuhard","758"
"Freiburg im Breisgau","29.02.2024","Monthly Social Costs","Social Costs for Jan Peters","817"
"Freiburg im Breisgau","29.02.2024","Monthly Social Costs","Social Costs for Sabine Meyer","875"
"Freiburg im Breisgau","29.02.2024","Monthly Social Costs","Social Costs for Markus Seibert","992"
"Freiburg im Breisgau","29.02.2024","Monthly Social Costs","Social Costs for Matthias Schwab","1021"
"Freiburg im Breisgau","29.02.2024","Monthly Social Costs","Social Costs for Arnim Schmidt","1138"
"Freiburg im Breisgau","29.02.2024","Monthly Rent","Rent for Store","12000"
"Freiburg im Breisgau","29.02.2024","Marketing Campaign","Marketing Campaign [45]: Free Bike Check","1500"
"Freiburg im Breisgau","29.02.2024","Marketing Campaign","Marketing Campaign [11]: Buy positive reviews","2500"
"Freiburg im Breisgau","29.02.2024","Marketing Campaign","Marketing Campaign [10]: Social Media Campaign","3000"
"Freiburg im Breisgau","29.02.2024","Marketing Campaign","Marketing Campaign [29]: City Industry Exibition Booth 30 m2","13000"
"Freiburg im Breisgau","29.02.2024","Marketing Campaign","Marketing Campaign [6]: TV Sport","20000"
"Freiburg im Breisgau","29.02.2024","Commission","Commission for Sabine Meyer, 3 %  ","232"
"Freiburg im Breisgau","29.02.2024","Commission","Commission for Jan Peters, 3 %  ","506"
"Freiburg im Breisgau","29.02.2024","Commission","Commission for Markus Seibert, 3 %  ","531"
"Freiburg im Breisgau","29.02.2024","Commission","Commission for Arnim Schmidt, 3 %  ","1472"
"Freiburg im Breisgau","29.02.2024","Commission","Commission for Matthias Schwab, 3 %  ","2018"
"Rosenheim","31.01.2024","Monthly Salary","Monthly Salary for Andreas Miller, Mechanic, 0 %  ","417"
"Rosenheim","31.01.2024","Monthly Salary","Monthly Salary for Melanie Gabler, Student Assistant, 0 %  ","417"
"Rosenheim","31.01.2024","Monthly Salary","Monthly Salary for Helene Mauser, Cleaner, 0 %  ","458"
"Rosenheim","31.01.2024","Monthly Salary","Monthly Salary for Gerhard Winkler, Salesman, 3 %  ","2500"
"Rosenheim","31.01.2024","Monthly Salary","Monthly Salary for Jan Peters, Salesman, 3 %  ","2500"
"Rosenheim","31.01.2024","Monthly Salary","Monthly Salary for Klaus Weber, Mechanic, 0 %  ","2500"
"Rosenheim","31.01.2024","Monthly Salary","Monthly Salary for Sabine Meyer, Salesman, 3 %  ","2500"
"Rosenheim","31.01.2024","Monthly Salary","Monthly Salary for Katharina Vogel, Salesman, 3 %  ","3167"
"Rosenheim","31.01.2024","Monthly Salary","Monthly Salary for Arnim Schmidt, Salesman, 3 %  ","3250"
"Rosenheim","31.01.2024","Monthly Social Costs","Social Costs for Andreas Miller","63"
"Rosenheim","31.01.2024","Monthly Social Costs","Social Costs for Melanie Gabler","63"
"Freiburg im Breisgau","30.04.2024","Additional Procurement Costs","Additional Procurement Costs for Mountain Bikes / Mid-Low","45"
"Freiburg im Breisgau","30.04.2024","Additional Procurement Costs","Additional Procurement Costs for Trekking Bikes / Mid-Up","45"
"Freiburg im Breisgau","30.04.2024","Additional Procurement Costs","Additional Procurement Costs for City Bikes / Mid-Low","90"
"Freiburg im Breisgau","30.04.2024","Additional Procurement Costs","Additional Procurement Costs for Kid Bikes / Budget","180"
"Freiburg im Breisgau","30.04.2024","Additional Procurement Costs","Additional Procurement Costs for E-Bikes / Budget","225"
"Freiburg im Breisgau","30.04.2024","Additional Procurement Costs","Additional Procurement Costs for Trekking Bikes / Budget","315"
"Freiburg im Breisgau","30.04.2024","Additional Procurement Costs","Additional Procurement Costs for City Bikes / Budget","405"
"Freiburg im Breisgau","30.04.2024","Additional Procurement Costs","Additional Procurement Costs for Mountain Bikes / Budget","450"
"Freiburg im Breisgau","30.04.2024","Additional Procurement Costs","Additional Procurement Costs for Race Bikes / Budget","495"
"Rosenheim","30.09.2024","Monthly Salary","Monthly Salary for Andreas Miller, Mechanic, 0 %  ","417"
"Rosenheim","30.09.2024","Monthly Salary","Monthly Salary for Melanie Gabler, Student Assistant, 0 %  ","417"
"Rosenheim","30.09.2024","Monthly Salary","Monthly Salary for Helene Mauser, Cleaner, 0 %  ","458"
"Rosenheim","30.09.2024","Monthly Salary","Monthly Salary for Gerhard Winkler, Salesman, 3 %  ","2500"
"Rosenheim","30.09.2024","Monthly Salary","Monthly Salary for Jan Peters, Salesman, 3 %  ","2500"
"Rosenheim","31.07.2024","Monthly Salary","Monthly Salary for Arnim Schmidt, Salesman, 3 %  ","3250"
"Rosenheim","31.07.2024","Monthly Social Costs","Social Costs for Andreas Miller","63"
"Rosenheim","31.07.2024","Monthly Social Costs","Social Costs for Melanie Gabler","63"
"Rosenheim","31.07.2024","Monthly Social Costs","Social Costs for Helene Mauser","160"
"Rosenheim","31.07.2024","Monthly Social Costs","Social Costs for Gerhard Winkler","875"
"Rosenheim","31.07.2024","Monthly Social Costs","Social Costs for Jan Peters","875"
"Rosenheim","31.07.2024","Monthly Social Costs","Social Costs for Klaus Weber","875"
"Rosenheim","31.07.2024","Monthly Social Costs","Social Costs for Sabine Meyer","875"
"Rosenheim","31.07.2024","Monthly Social Costs","Social Costs for Katharina Vogel","1108"
"Rosenheim","31.07.2024","Monthly Social Costs","Social Costs for Arnim Schmidt","1138"
"Rosenheim","31.07.2024","Monthly Rent","Rent for Store","10800"
"Rosenheim","31.07.2024","Marketing Campaign","Marketing Campaign [22]: Google Ads","1000"
"Rosenheim","31.07.2024","Marketing Campaign","Marketing Campaign [30]: Advertise on the Bus / Half Wrap","2500"
"Rosenheim","31.07.2024","Marketing Campaign","Marketing Campaign [56]: Banner 4 x 1,5 m","2500"
"Rosenheim","31.07.2024","Marketing Campaign","Marketing Campaign [54]: Guerilla Marketing","4000"
"Rosenheim","31.07.2024","Marketing Campaign","Marketing Campaign [6]: TV Sport","20000"
"Rosenheim","31.07.2024","Commission","Commission for Gerhard Winkler, 3 %  ","1355"
"Rosenheim","31.07.2024","Commission","Commission for Jan Peters, 3 %  ","1513"
"Rosenheim","31.07.2024","Commission","Commission for Arnim Schmidt, 3 %  ","1608"
"Rosenheim","31.07.2024","Commission","Commission for Katharina Vogel, 3 %  ","1724"
"Rosenheim","31.07.2024","Commission","Commission for Sabine Meyer, 3 %  ","1764"
"Rosenheim","31.07.2024","Additional Procurement Costs","Additional Procurement Costs for Trekking Bikes / Mid-Low","45"
"Rosenheim","31.07.2024","Additional Procurement Costs","Additional Procurement Costs for Mountain Bikes / Mid-Up","90"
"Rosenheim","31.07.2024","Additional Procurement Costs","Additional Procurement Costs for City Bikes / Mid-Low","135"
"Rosenheim","31.07.2024","Additional Procurement Costs","Additional Procurement Costs for Race Bikes / Budget","135"
"Rosenheim","31.07.2024","Additional Procurement Costs","Additional Procurement Costs for Trekking Bikes / Budget","225"
"Rosenheim","31.07.2024","Additional Procurement Costs","Additional Procurement Costs for City Bikes / Budget","270"
"Rosenheim","31.07.2024","Additional Procurement Costs","Additional Procurement Costs for Mountain Bikes / Budget","405"
"Rosenheim","30.09.2024","Monthly Salary","Monthly Salary for Klaus Weber, Mechanic, 0 %  ","2500"
"Rosenheim","30.09.2024","Monthly Salary","Monthly Salary for Sabine Meyer, Salesman, 3 %  ","2500"
"Rosenheim","30.09.2024","Monthly Salary","Monthly Salary for Katharina Vogel, Salesman, 3 %  ","3167"
"Rosenheim","30.09.2024","Monthly Salary","Monthly Salary for Arnim Schmidt, Salesman, 3 %  ","3250"
"Rosenheim","30.09.2024","Monthly Social Costs","Social Costs for Andreas Miller","63"
"Rosenheim","30.09.2024","Monthly Social Costs","Social Costs for Melanie Gabler","63"
"Rosenheim","30.09.2024","Monthly Social Costs","Social Costs for Helene Mauser","160"
"Rosenheim","30.09.2024","Monthly Social Costs","Social Costs for Gerhard Winkler","875"
"Rosenheim","30.09.2024","Monthly Social Costs","Social Costs for Jan Peters","875"
"Rosenheim","30.09.2024","Monthly Social Costs","Social Costs for Klaus Weber","875"
"Rosenheim","30.09.2024","Monthly Social Costs","Social Costs for Sabine Meyer","875"
"Rosenheim","30.09.2024","Monthly Social Costs","Social Costs for Katharina Vogel","1108"
"Rosenheim","30.09.2024","Monthly Social Costs","Social Costs for Arnim Schmidt","1138"
"Rosenheim","30.09.2024","Monthly Rent","Rent for Store","10800"
"Rosenheim","30.09.2024","Marketing Campaign","Marketing Campaign [54]: Guerilla Marketing","4000"
"Rosenheim","30.09.2024","Commission","Commission for Jan Peters, 3 %  ","417"
"Rosenheim","30.09.2024","Commission","Commission for Gerhard Winkler, 3 %  ","455"
"Rosenheim","30.09.2024","Commission","Commission for Sabine Meyer, 3 %  ","575"
"Rosenheim","30.09.2024","Commission","Commission for Arnim Schmidt, 3 %  ","624"
"Freiburg im Breisgau","30.11.2024","Monthly Salary","Monthly Salary for Katharina Bauer, Cleaner, 0 %  ","450"
"Freiburg im Breisgau","30.11.2024","Monthly Salary","Monthly Salary for Stefan Beck, Mechanic, 0 %  ","2167"
"Freiburg im Breisgau","30.11.2024","Monthly Salary","Monthly Salary for Susanne Neuhard, Mechanic, 0 %  ","2167"
"Freiburg im Breisgau","30.11.2024","Monthly Salary","Monthly Salary for Jan Peters, Salesman, 3 %  ","2333"
"Freiburg im Breisgau","30.11.2024","Monthly Salary","Monthly Salary for Sabine Meyer, Salesman, 3 %  ","2500"
"Freiburg im Breisgau","30.11.2024","Monthly Salary","Monthly Salary for Markus Seibert, Salesman, 3 %  ","2833"
"Freiburg im Breisgau","30.11.2024","Monthly Salary","Monthly Salary for Matthias Schwab, Salesman, 3 %  ","2917"
"Freiburg im Breisgau","30.11.2024","Monthly Salary","Monthly Salary for Arnim Schmidt, Salesman, 3 %  ","3250"
"Freiburg im Breisgau","30.11.2024","Monthly Social Costs","Social Costs for Katharina Bauer","68"
"Freiburg im Breisgau","30.11.2024","Monthly Social Costs","Social Costs for Stefan Beck","758"
"Freiburg im Breisgau","30.11.2024","Monthly Social Costs","Social Costs for Susanne Neuhard","758"
"Freiburg im Breisgau","30.11.2024","Monthly Social Costs","Social Costs for Jan Peters","817"
"Freiburg im Breisgau","30.11.2024","Monthly Social Costs","Social Costs for Sabine Meyer","875"
"Freiburg im Breisgau","30.11.2024","Monthly Social Costs","Social Costs for Markus Seibert","992"
"Freiburg im Breisgau","30.11.2024","Monthly Social Costs","Social Costs for Matthias Schwab","1021"
"Freiburg im Breisgau","30.11.2024","Monthly Social Costs","Social Costs for Arnim Schmidt","1138"
"Freiburg im Breisgau","30.11.2024","Monthly Rent","Rent for Store","12000"
"Freiburg im Breisgau","30.11.2024","Marketing Campaign","Marketing Campaign [10]: Social Media Campaign","3000"
"Freiburg im Breisgau","30.11.2024","Marketing Campaign","Marketing Campaign [53]: Sponsoring on web sites and local influencers","3000"
"Freiburg im Breisgau","30.11.2024","Commission","Commission for Markus Seibert, 3 %  ","99"
"Freiburg im Breisgau","30.11.2024","Commission","Commission for Jan Peters, 3 %  ","111"
"Freiburg im Breisgau","31.12.2024","Monthly Salary","Monthly Salary for Katharina Bauer, Cleaner, 0 %  ","450"
"Freiburg im Breisgau","31.12.2024","Monthly Salary","Monthly Salary for Stefan Beck, Mechanic, 0 %  ","2167"
"Freiburg im Breisgau","31.12.2024","Monthly Salary","Monthly Salary for Susanne Neuhard, Mechanic, 0 %  ","2167"
"Freiburg im Breisgau","31.12.2024","Monthly Salary","Monthly Salary for Jan Peters, Salesman, 3 %  ","2333"
"Freiburg im Breisgau","31.12.2024","Monthly Salary","Monthly Salary for Sabine Meyer, Salesman, 3 %  ","2500"
"Freiburg im Breisgau","31.12.2024","Monthly Salary","Monthly Salary for Markus Seibert, Salesman, 3 %  ","2833"
"Freiburg im Breisgau","31.12.2024","Monthly Salary","Monthly Salary for Matthias Schwab, Salesman, 3 %  ","2917"
"Freiburg im Breisgau","31.12.2024","Monthly Salary","Monthly Salary for Arnim Schmidt, Salesman, 3 %  ","3250"
"Freiburg im Breisgau","31.12.2024","Monthly Social Costs","Social Costs for Katharina Bauer","68"
"Freiburg im Breisgau","31.12.2024","Monthly Social Costs","Social Costs for Stefan Beck","758"
"Freiburg im Breisgau","31.12.2024","Monthly Social Costs","Social Costs for Susanne Neuhard","758"
"Freiburg im Breisgau","31.12.2024","Monthly Social Costs","Social Costs for Jan Peters","817"
"Freiburg im Breisgau","31.12.2024","Monthly Social Costs","Social Costs for Sabine Meyer","875"
"Freiburg im Breisgau","31.12.2024","Monthly Social Costs","Social Costs for Markus Seibert","992"
"Freiburg im Breisgau","31.12.2024","Monthly Social Costs","Social Costs for Matthias Schwab","1021"
"Freiburg im Breisgau","31.12.2024","Monthly Social Costs","Social Costs for Arnim Schmidt","1138"
"Freiburg im Breisgau","31.12.2024","Monthly Rent","Rent for Store","12000"
"Freiburg im Breisgau","31.12.2024","Marketing Campaign","Marketing Campaign [10]: Social Media Campaign","3000"
"Freiburg im Breisgau","31.12.2024","Commission","Commission for Jan Peters, 3 %  ","127"
"Freiburg im Breisgau","31.12.2024","Commission","Commission for Matthias Schwab, 3 %  ","354"
"Freiburg im Breisgau","31.12.2024","Commission","Commission for Markus Seibert, 3 %  ","361"
"Freiburg im Breisgau","31.12.2024","Commission","Commission for Sabine Meyer, 3 %  ","429"
"Freiburg im Breisgau","31.12.2024","Commission","Commission for Arnim Schmidt, 3 %  ","492"
"Rosenheim","30.06.2024","Additional Procurement Costs","Additional Procurement Costs for Mountain Bikes / Budget","630"
"Freiburg im Breisgau","31.10.2024","Monthly Salary","Monthly Salary for Katharina Bauer, Cleaner, 0 %  ","450"
"Freiburg im Breisgau","31.10.2024","Monthly Salary","Monthly Salary for Stefan Beck, Mechanic, 0 %  ","2167"
"Freiburg im Breisgau","31.10.2024","Monthly Salary","Monthly Salary for Susanne Neuhard, Mechanic, 0 %  ","2167"
"Freiburg im Breisgau","31.10.2024","Monthly Salary","Monthly Salary for Jan Peters, Salesman, 3 %  ","2333"
"Freiburg im Breisgau","31.10.2024","Monthly Salary","Monthly Salary for Sabine Meyer, Salesman, 3 %  ","2500"
"Freiburg im Breisgau","31.10.2024","Monthly Salary","Monthly Salary for Markus Seibert, Salesman, 3 %  ","2833"
"Freiburg im Breisgau","31.10.2024","Monthly Salary","Monthly Salary for Matthias Schwab, Salesman, 3 %  ","2917"
"Freiburg im Breisgau","31.10.2024","Monthly Salary","Monthly Salary for Arnim Schmidt, Salesman, 3 %  ","3250"
"Freiburg im Breisgau","31.10.2024","Monthly Social Costs","Social Costs for Katharina Bauer","68"
"Freiburg im Breisgau","31.10.2024","Monthly Social Costs","Social Costs for Stefan Beck","758"
"Rosenheim","30.06.2024","Monthly Salary","Monthly Salary for Andreas Miller, Mechanic, 0 %  ","417"
"Rosenheim","30.06.2024","Monthly Salary","Monthly Salary for Melanie Gabler, Student Assistant, 0 %  ","417"
"Rosenheim","30.06.2024","Monthly Salary","Monthly Salary for Helene Mauser, Cleaner, 0 %  ","458"
"Rosenheim","31.05.2024","Additional Procurement Costs","Additional Procurement Costs for Trekking Bikes / Budget","405"
"Rosenheim","31.05.2024","Additional Procurement Costs","Additional Procurement Costs for City Bikes / Budget","495"
"Rosenheim","31.05.2024","Additional Procurement Costs","Additional Procurement Costs for Mountain Bikes / Budget","765"
"Rosenheim","30.11.2024","Commission","Commission for Gerhard Winkler, 3 %  ","259"
"Rosenheim","30.11.2024","Commission","Commission for Jan Peters, 3 %  ","354"
"Rosenheim","30.11.2024","Commission","Commission for Katharina Vogel, 3 %  ","478"
"Rosenheim","31.10.2024","Monthly Salary","Monthly Salary for Jan Peters, Salesman, 3 %  ","2500"
"Rosenheim","31.10.2024","Monthly Salary","Monthly Salary for Klaus Weber, Mechanic, 0 %  ","2500"
"Rosenheim","31.10.2024","Monthly Salary","Monthly Salary for Sabine Meyer, Salesman, 3 %  ","2500"
"Rosenheim","31.10.2024","Monthly Salary","Monthly Salary for Katharina Vogel, Salesman, 3 %  ","3167"
"Rosenheim","31.10.2024","Monthly Salary","Monthly Salary for Arnim Schmidt, Salesman, 3 %  ","3250"
"Rosenheim","31.10.2024","Monthly Social Costs","Social Costs for Andreas Miller","63"
"Rosenheim","31.10.2024","Monthly Social Costs","Social Costs for Melanie Gabler","63"
"Rosenheim","31.10.2024","Monthly Social Costs","Social Costs for Helene Mauser","160"
"Rosenheim","31.10.2024","Monthly Social Costs","Social Costs for Gerhard Winkler","875"
"Rosenheim","31.10.2024","Monthly Social Costs","Social Costs for Jan Peters","875"
"Rosenheim","31.10.2024","Monthly Social Costs","Social Costs for Klaus Weber","875"
"Rosenheim","31.10.2024","Monthly Social Costs","Social Costs for Sabine Meyer","875"
"Rosenheim","31.10.2024","Monthly Social Costs","Social Costs for Katharina Vogel","1108"
"Rosenheim","31.10.2024","Monthly Social Costs","Social Costs for Arnim Schmidt","1138"
"Rosenheim","31.10.2024","Monthly Rent","Rent for Store","10800"
"Rosenheim","31.10.2024","Marketing Campaign","Marketing Campaign [22]: Google Ads","1000"
"Rosenheim","31.10.2024","Marketing Campaign","Marketing Campaign [10]: Social Media Campaign","3000"
"Rosenheim","31.10.2024","Marketing Campaign","Marketing Campaign [54]: Guerilla Marketing","4000"
"Rosenheim","31.10.2024","Commission","Commission for Sabine Meyer, 3 %  ","175"
"Rosenheim","31.10.2024","Commission","Commission for Jan Peters, 3 %  ","240"
"Rosenheim","31.10.2024","Commission","Commission for Gerhard Winkler, 3 %  ","243"
"Rosenheim","31.10.2024","Commission","Commission for Arnim Schmidt, 3 %  ","948"
"Rosenheim","31.10.2024","Commission","Commission for Katharina Vogel, 3 %  ","1328"
"Rosenheim","31.03.2024","Marketing Campaign","Marketing Campaign [56]: Banner 4 x 1,5 m","2500"
"Rosenheim","31.03.2024","Marketing Campaign","Marketing Campaign [10]: Social Media Campaign","3000"
"Rosenheim","31.03.2024","Marketing Campaign","Marketing Campaign [53]: Sponsoring on web sites and local influencers","3000"
"Rosenheim","31.03.2024","Marketing Campaign","Marketing Campaign [54]: Guerilla Marketing","4000"
"Rosenheim","31.03.2024","Marketing Campaign","Marketing Campaign [2]: Flyer","5000"
"Rosenheim","31.03.2024","Marketing Campaign","Marketing Campaign [51]: Advertisement in local newspaper 1/2 page","5000"
"Rosenheim","31.03.2024","Commission","Commission for Gerhard Winkler, 3 %  ","673"
"Rosenheim","31.03.2024","Commission","Commission for Jan Peters, 3 %  ","723"
"Rosenheim","31.03.2024","Commission","Commission for Arnim Schmidt, 3 %  ","1010"
"Rosenheim","31.03.2024","Commission","Commission for Sabine Meyer, 3 %  ","1119"
"Rosenheim","31.03.2024","Commission","Commission for Katharina Vogel, 3 %  ","2761"
"Rosenheim","31.03.2024","Additional Procurement Costs","Additional Procurement Costs for City Bikes / Mid-Low","45"
"Rosenheim","31.03.2024","Additional Procurement Costs","Additional Procurement Costs for Mountain Bikes / Mid-Up","45"
"Rosenheim","31.03.2024","Additional Procurement Costs","Additional Procurement Costs for Race Bikes / Budget","90"
"Rosenheim","31.03.2024","Additional Procurement Costs","Additional Procurement Costs for City Bikes / Budget","135"
"Rosenheim","31.03.2024","Additional Procurement Costs","Additional Procurement Costs for Trekking Bikes / Budget","135"
"Rosenheim","31.03.2024","Additional Procurement Costs","Additional Procurement Costs for Mountain Bikes / Budget","270"
"Rosenheim","30.04.2024","Commission","Commission for Arnim Schmidt, 3 %  ","2391"
"Rosenheim","30.04.2024","Additional Procurement Costs","Additional Procurement Costs for City Bikes / Mid-Up","45"
"Rosenheim","30.04.2024","Additional Procurement Costs","Additional Procurement Costs for Race Bikes / Mid-Low","45"
"Rosenheim","30.04.2024","Additional Procurement Costs","Additional Procurement Costs for Trekking Bikes / Mid-Low","90"
"Rosenheim","30.04.2024","Additional Procurement Costs","Additional Procurement Costs for Mountain Bikes / Mid-Up","135"
"Rosenheim","30.04.2024","Additional Procurement Costs","Additional Procurement Costs for City Bikes / Mid-Low","180"
"Rosenheim","30.04.2024","Additional Procurement Costs","Additional Procurement Costs for Race Bikes / Budget","225"
"Rosenheim","30.04.2024","Additional Procurement Costs","Additional Procurement Costs for Trekking Bikes / Budget","315"
"Rosenheim","30.04.2024","Additional Procurement Costs","Additional Procurement Costs for City Bikes / Budget","360"
"Rosenheim","30.04.2024","Additional Procurement Costs","Additional Procurement Costs for Mountain Bikes / Budget","540"
"Freiburg im Breisgau","31.08.2024","Monthly Salary","Monthly Salary for Susanne Neuhard, Mechanic, 0 %  ","2167"
"Freiburg im Breisgau","31.08.2024","Monthly Salary","Monthly Salary for Jan Peters, Salesman, 3 %  ","2333"
"Freiburg im Breisgau","31.08.2024","Monthly Salary","Monthly Salary for Sabine Meyer, Salesman, 3 %  ","2500"
"Freiburg im Breisgau","31.08.2024","Monthly Salary","Monthly Salary for Markus Seibert, Salesman, 3 %  ","2833"
"Freiburg im Breisgau","31.08.2024","Monthly Salary","Monthly Salary for Matthias Schwab, Salesman, 3 %  ","2917"
"Freiburg im Breisgau","31.08.2024","Monthly Salary","Monthly Salary for Arnim Schmidt, Salesman, 3 %  ","3250"
"Freiburg im Breisgau","31.08.2024","Monthly Social Costs","Social Costs for Katharina Bauer","68"
"Freiburg im Breisgau","31.08.2024","Monthly Social Costs","Social Costs for Stefan Beck","758"
"Freiburg im Breisgau","31.08.2024","Monthly Social Costs","Social Costs for Susanne Neuhard","758"
"Freiburg im Breisgau","31.08.2024","Monthly Social Costs","Social Costs for Jan Peters","817"
"Freiburg im Breisgau","31.08.2024","Monthly Social Costs","Social Costs for Sabine Meyer","875"
"Freiburg im Breisgau","31.08.2024","Monthly Social Costs","Social Costs for Markus Seibert","992"
"Freiburg im Breisgau","31.08.2024","Monthly Social Costs","Social Costs for Matthias Schwab","1021"
"Freiburg im Breisgau","31.08.2024","Monthly Social Costs","Social Costs for Arnim Schmidt","1138"
"Freiburg im Breisgau","31.08.2024","Monthly Rent","Rent for Store","12000"
"Freiburg im Breisgau","31.08.2024","Marketing Campaign","Marketing Campaign [45]: Free Bike Check","1500"
"Freiburg im Breisgau","31.08.2024","Marketing Campaign","Marketing Campaign [11]: Buy positive reviews","2500"
"Freiburg im Breisgau","31.08.2024","Marketing Campaign","Marketing Campaign [10]: Social Media Campaign","3000"
"Freiburg im Breisgau","31.08.2024","Marketing Campaign","Marketing Campaign [53]: Sponsoring on web sites and local influencers","3000"
"Freiburg im Breisgau","31.08.2024","Marketing Campaign","Marketing Campaign [29]: City Industry Exibition Booth 30 m2","13000"
"Freiburg im Breisgau","31.08.2024","Commission","Commission for Sabine Meyer, 3 %  ","596"
"Freiburg im Breisgau","31.08.2024","Commission","Commission for Markus Seibert, 3 %  ","675"
"Freiburg im Breisgau","31.08.2024","Commission","Commission for Arnim Schmidt, 3 %  ","1385"
"Freiburg im Breisgau","31.08.2024","Commission","Commission for Matthias Schwab, 3 %  ","1569"
"Freiburg im Breisgau","31.08.2024","Commission","Commission for Jan Peters, 3 %  ","2921"
"3","31.12.2024","Commission","Commission for Florian Hahn, 3 %  ","139"
"3","31.12.2024","Commission","Commission for Arnim Schmidt, 3 %  ","201"
"3","31.12.2024","Commission","Commission for Marcus Friedrich, 3 %  ","462"
"3","31.12.2024","Commission","Commission for Sabine Meyer, 3 %  ","624"
